Timestamp;Year;Short/Full Paper;Please select your nominated AGILE Best Paper.;Have you considered the reproducibility of research published in your nominated paper?;Do you agree with our rating? Please comment;Please rate how strongly the following circumstances have hindered you from providing all data, methods and results used/developed during your research? [The need to invest more time into the publication];Please rate how strongly the following circumstances have hindered you from providing all data, methods and results used/developed during your research? [Lack of knowledge how to include data/methods/results into the publication];Please rate how strongly the following circumstances have hindered you from providing all data, methods and results used/developed during your research? [Lack of tools that would help to attach data/methods/results to the publication];Please rate how strongly the following circumstances have hindered you from providing all data, methods and results used/developed during your research? [Lack of motivation or incentive];Please rate how strongly the following circumstances have hindered you from providing all data, methods and results used/developed during your research? [Legal restrictions (e.g. privacy issues or copyright)];Please add here if there were any other hindering circumstances;What would you suggest to AGILE community to encourage publishing fully reproducible papers?;We would like to ask for your consent to discuss your answers to this survey in our publication.;
10/25/2017 8:44:00;2014;Full;"Groechenig et al. (2014) ""Estimating completeness of VGI datasets by analyzing community activity over time periods""";Yes, it is important to me that my research is fully reproducible;Since the used data is data from OpenStreetMap, I do not understand a rating of 2 concerning data. Concerning the algorithms, the analytics framework has been released as open source in the meanwhile: https://github.com/SGroe/vgi-analytics-framework;Main reason;Not at all;Not at all;Not at all;Moderately hindered;Time is in most cases the main reason. Opening a source code is always a time-consuming step. Selecting an appropriate license being compatible with other licenses of linked frameworks or source codes is also challenging.;Make it a basic requirement to get nominated for the best paper award;Yes, I agree that my answers will be discussed in a publication.;
10/25/2017 16:59:36;2014;Full;The author has not agreed that one's answers would be included in the publication.;;;;;;;;;;;
10/26/2017 16:21:17;2016;Short;"Josselin et al. (2016) ""Sonorous Cartography for Sighted and Blind People""";No, I was not concerned with it;I agree about the data. I would say the method may be reproducible but to be honest, it is very difficult to find blind people ready to participate. It was very hard to convince them. About the results, we recently fund some publications that showed different results from us. (meaning that blind people do not have better compensating capabilities in hearing indeed).;Moderately hindered;Not at all;Moderately hindered;Strongly hindered;Not at all;;Very good idea. That might be a common research European project. As the next director of my lab (ESPACE in France), I would encourage my colleagues to participate.;Yes, I agree that my answers will be discussed in a publication.;
10/27/2017 11:09:20;2010;Full;"Raubal & Winter (2010) ""A spatio-temporal model towards ad-hoc collaborative decision-making""";Yes, I have somewhat considered reproducibility;Not completely. Although we only present a formal model, the formal examples in the paper are reproducible.;;;;;;You marked all categories as not applicable so these questions are also not applicable.;It's part of good scientific practice and becomes more and more important. Sometimes it's difficult though, especially when you work on research with sensitive (privacy!) data.;Yes, I agree that my answers will be discussed in a publication.;
10/27/2017 14:14:52;2016;Short;"Rosser et al. (2016) ""Full Meta Objects for flexible geoprocessing workflows: profiling WPS or BPMN?""";Yes, it is important to me that my research is fully reproducible;data is  3 I think to remember ;Not at all;Not at all;Not at all;Not at all;Not at all;I think the work is reproductible;A prize? A special award or refund of some of the fees ;Yes, I agree that my answers will be discussed in a publication.;
10/29/2017 13:46:52;2016;Short;"Rosser et al. (2016) ""Full Meta Objects for flexible geoprocessing workflows: profiling WPS or BPMN?""";Yes, it is important to me that my research is fully reproducible;No - I would have considered that the ideas presented in this paper and therefore the results are testable as the specific data set is not the key issue. The paper was about the relative merits of two open standards approaches to  the processing of metadata for quality assurance. ;Slightly hindered;Slightly hindered;Not at all;Not at all;Not at all;More a question of focus of the paper (exploring the pros and cons of two open standards approaches) and the return in terms of benefit (to the authors as well as the wider community) against the effort required to make available for the longer term any specific data sets used. The mere saving of data sets is often not sufficient unless associated with rich metadata regarding a range of parameters surrounding it collection, categorisation, how it was applied, etc.;As a research-led Europe-wide organisation AGILE is well placed to set out and promote good practise.  People are keen to present at AGILE Conferences and there is therefore the opportunity to leverage compliance to any good practise guidelines AGILE promotes. An AGILE hosted data and research themes repository  might be useful but the investment in time and money will be more than nominal and it would need to persist over a long period to deliver real value.. Local storage is often ineffective as research groups come and go - people move institution and retire and the ability to then access stored data - even if still in preserved - becomes problematic.   Importantly AGILE might encourage and promote enduring cross research institute and cross country collaboration.  The EU supports this through the FP xxxx and now  H2020 programmes but the inefficiency and poor value for money of these programmes  means a different approach needs to be found. Initiatives such as yours driven and shaped by active researchers are very valuable to  raise the importance of the issues and explore more efficient/effective ways of achieving reproducability and collaboration (all I suspect on a very modest budget?);Yes, I agree that my answers will be discussed in a publication.;
10/30/2017 10:18:43;2017;Full;"Knoth et al. (2017) ""3D Building Maps for Everyone - Mapping Buildings Using VGI""";It is part of a project and we can only share parts of the work.;;Not at all;Not at all;Slightly hindered;Not at all;Main reason;;;;
10/30/2017 13:53:08;2013;Short;"Schwering et al. (2013) ""Orientation Information in Different Forms of Route Instructions""";Yes, I have somewhat considered reproducibility;kindly specify what documented and recreatable in this context.;Strongly hindered;Moderately hindered;Strongly hindered;Strongly hindered;Strongly hindered;;evoke interest among researchers on reproducibility of research;Yes, I agree that my answers will be discussed in a publication.;
11/2/2017 11:13:35;2014;Full;The author has not agreed that one's answers would be included in the publication.;;;;;;;;;;;
11/10/2017 15:40:51;2017;Full;"Mazimpaka & Timpf (2015) ""Exploring the Potential of Combining Taxi GPS and Flickr Data for Discovering Functional Regions""";Yes, it is important to me that my research is fully reproducible;I agree;Not at all;Strongly hindered;Main reason;Not at all;Slightly hindered;;open access to all papers including their own website space in which data and tools might be uploaded and explained;Yes, I agree that my answers will be discussed in a publication.;
11/20/2017 13:38:20;2015;Full;The author has not agreed that one's answers would be included in the publication.;;;;;;;;;;;
