paper,author,title,reviewer 1,reviewer 2,short paper,input data,preprocessing,method/analysis/processing,computational environment,results,,Notes Reviewer,,Author comment
12014,Scheider et al. (2014),Encoding and querying historic map content,BH,DN,FALSE,1,1,2,1,1,,"(notes: as data I consider the maps and vocabularies; preprocessing in tihe mentioned georeferencing tool; computational env. provided online, but link is not working!)",,
22014,Gröchening et al. (2014),Estimating Completeness of VGI Datasets by Analyzing Community Activity over Time Periods.,RS,FO,FALSE,2,0,1,0,1,,,,
32014,Fan et al. (2014),Estimation of building types on OpenStreetMap based on urban morphology analysis. ,FO,BH,FALSE,0,1,1,0,1,,,,
42014,Soleymani et al. (2014),Capability of movement features extracted from GPS trajectories for the classification of fine-grained behaviors,RS,DN,TRUE,0,0,1,0,0,,"(a paper with great potential for reproducibility, which failed to do it)",,
52014,Wiemann & Bernard (2014),Linking crowdsourced observations with INSPIRE,RS,DN,TRUE,0,0,1,0,0,,,,
12013,Osaragi & Tsuda (2013),Facility Use-choice Model with Travel Costs Incorporating Means of Transportation and Travel Direction,VC,RS,FALSE,0,1,1,0,1,,,,
22013,Baglatzi & Kuhn (2013),On the Formulation of Conceptual Spaces for Land Cover Classification System,BH,DN,FALSE,NA,NA,NA,NA,NA,,,,
32013,Schwering et al. (2013),Orientation Information in Different Forms of Route Instructions,BH,MK,TRUE,0,0,1,NA,1,,(notes: manual classification of route segments following a defined classification schema; no computational approach involved),,
42013,Stein & Schlieder (2013),A Geowiki for Participatory Mobility,BH,MK,TRUE,0,NA,1,0,1,,,,
12012,Osaragi & Hoshino (2012),Predicting Spatiotemporal Distribution of Transient Occupants in Urban Areas,RS,VC,FALSE,0,0,1,0,1,,,,
22012,Magalhães et al. (2012),A new Method for Computing the Drainage Network Based on Raising the Level of an Ocean Surrounding the Terrain,DN,BH,FALSE,0,0,1,0,0,,"(authors comment: ""I don't agree. Our input datasets are available at the NASA SRTM website. We also describe our computational environment (a regular desktop computer) and one could reproduce it easily (although the computer used in the experiments -- with a Core 2 Duo processor - is outdated nowadays).""",,"Original notes: could have/should have:
- provide the raw collected data for the plots
- provide details on the AMI (i.e. configuration file) etc.
- provide the script used for the evaluation
- be a lot more specific when it comes to used versions and configurations
- provide the actual used data and algorithm"
32012,Foerster et al. (2012),Live Geoinformation with Standardized Geoprocessing Services,BH,RS,FALSE,1,NA,1,1,1,,,,
42012,Merki & Laube (2012),Detecting Reaction Movement Patterns in Trajectory Data,RS,BH,TRUE,0,NA,1,1,1,,"(notes BH: they defined criteria for the algorithms they test, which I see as low level pseudo code.)",,
52012,Kiefer et al. (2012),Location-aware Mobile Eve Tracking for the Explanation of Wayfinding Behavior,DN,FO,TRUE,0,1,1,0,1,,,,
12010,Raubal & Winter (2010),A Spatio-Temporal Model Towards Ad-Hoc Collaborative Decision-Making,DN,MK,FALSE,NA,NA,NA,NA,NA,,,,
22010,Schäffer et al. (2010),Towards Spatial Data Infrastructures in the Clouds,VC,BH,FALSE,0,0,1,1,1,,,,
32010,Körner et al. (2010),Visit Potential: A Common Vocabulary for the Analysis of Entity-Location Interactions in Mobility Applications,FO,BH,FALSE,NA,NA,NA,NA,NA,,,,
